utc,filter,pm,lat,lon
1312484405,2.5,0.006,37.813295,-122.297757
1312484406,2.5,0.005,37.813295,-122.297762
1312484407,2.5,0.005,37.813293,-122.297758
1312484408,2.5,0.005,37.81329,-122.297757
1312484409,2.5,0.006,37.813292,-122.297753
1312484410,2.5,0.005,37.813295,-122.297742
1312484411,2.5,0.005,37.813293,-122.297735
1312484412,2.5,0.005,37.813295,-122.297728
1312484413,2.5,0.005,37.813297,-122.297722
1312484414,2.5,0.005,37.813297,-122.297725
1312484415,2.5,0.005,37.813297,-122.297722
1312484416,2.5,0.004,37.813293,-122.297723
1312484417,2.5,0.004,37.813283,-122.297725
1312484418,2.5,0.005,37.813273,-122.297727
1312484419,2.5,0.005,37.813263,-122.297727
1312484420,2.5,0.004,37.81326,-122.29773
1312484421,2.5,0.005,37.813255,-122.297735
1312484422,2.5,0.005,37.813248,-122.29774
1312484423,2.5,0.004,37.813242,-122.29774
1312484424,2.5,0.005,37.813237,-122.297742
1312484425,2.5,0.006,37.813232,-122.297743
1312484426,2.5,0.006,37.813227,-122.297747
1312484427,2.5,0.005,37.813222,-122.29775
1312484428,2.5,0.005,37.813215,-122.297753
1312484429,2.5,0.005,37.813198,-122.297772
1312484430,2.5,0.004,37.81319,-122.297782
1312484431,2.5,0.004,37.813178,-122.297787
1312484432,2.5,0.004,37.81317,-122.297793
1312484433,2.5,0.004,37.813165,-122.297795
1312484434,2.5,0.004,37.81317,-122.297798
1312484435,2.5,0.004,37.813168,-122.297798
1312484436,2.5,0.004,37.81317,-122.297792
1312484437,2.5,0.004,37.813167,-122.297785
1312484438,2.5,0.004,37.813163,-122.297782
1312484439,2.5,0.004,37.813152,-122.29778
1312484440,2.5,0.004,37.813142,-122.297785
1312484441,2.5,0.005,37.813148,-122.297795
1312484442,2.5,0.004,37.813157,-122.297807
1312484443,2.5,0.004,37.813163,-122.29781
1312484444,2.5,0.004,37.81317,-122.29782
1312484445,2.5,0.005,37.813168,-122.297828
1312484446,2.5,0.004,37.81318,-122.297833
1312484447,2.5,0.004,37.81318,-122.297827
1312484448,2.5,0.004,37.81319,-122.297828
1312484449,2.5,0.004,37.813197,-122.297832
1312484450,2.5,0.005,37.813195,-122.297833
1312484451,2.5,0.005,37.813183,-122.297832
