utc,filter,pm,lat,lon
1279666004,2.5,0.028,37.813278,-122.297563
1279666005,2.5,0.028,37.813262,-122.29753
1279666006,2.5,0.027,37.813233,-122.297498
1279666007,2.5,0.027,37.813217,-122.297465
1279666008,2.5,0.029,37.813228,-122.297472
1279666009,2.5,0.031,37.813245,-122.297473
1279666010,2.5,0.03,37.81325,-122.297447
1279666011,2.5,0.031,37.813252,-122.29742
1279666012,2.5,0.031,37.813243,-122.297363
1279666013,2.5,0.028,37.813255,-122.297357
1279666014,2.5,0.032,37.813272,-122.297352
1279666015,2.5,0.033,37.813278,-122.297348
1279666016,2.5,0.029,37.813282,-122.297355
1279666017,2.5,0.029,37.813285,-122.297388
1279666018,2.5,0.028,37.813348,-122.297498
1279666019,2.5,0.03,37.813367,-122.297537
1279666020,2.5,0.031,37.81336,-122.297568
1279666021,2.5,0.03,37.813362,-122.297568
1279666022,2.5,0.027,37.813372,-122.29757
1279666023,2.5,0.028,37.813372,-122.297583
1279666024,2.5,0.028,37.813365,-122.2976
1279666025,2.5,0.028,37.813355,-122.297615
1279666026,2.5,0.028,37.813342,-122.297633
1279666027,2.5,0.03,37.813327,-122.29765
1279666028,2.5,0.03,37.813325,-122.297653
1279666029,2.5,0.028,37.813328,-122.297652
1279666030,2.5,0.029,37.81333,-122.297647
1279666031,2.5,0.029,37.813327,-122.297645
1279666032,2.5,0.028,37.813323,-122.29765
1279666033,2.5,0.027,37.813315,-122.297653
1279666034,2.5,0.028,37.81331,-122.297655
1279666035,2.5,0.028,37.813305,-122.29766
1279666036,2.5,0.029,37.8133,-122.297665
1279666037,2.5,0.029,37.813297,-122.297668
1279666038,2.5,0.028,37.813295,-122.297673
1279666039,2.5,0.026,37.813297,-122.297675
1279666040,2.5,0.025,37.813297,-122.297675
1279666041,2.5,0.028,37.813297,-122.297673
1279666042,2.5,0.026,37.813297,-122.297668
1279666043,2.5,0.025,37.813298,-122.297662
1279666044,2.5,0.026,37.813298,-122.297657
1279666045,2.5,0.028,37.813302,-122.297655
1279666046,2.5,0.028,37.813303,-122.29765
1279666047,2.5,0.029,37.813305,-122.297643
1279666048,2.5,0.027,37.81331,-122.297642
1279666049,2.5,0.026,37.813308,-122.297635
1279666050,2.5,0.028,37.813308,-122.29763
1279666051,2.5,0.028,37.813312,-122.297625
1279666052,2.5,0.026,37.81332,-122.297618
1279666053,2.5,0.026,37.813322,-122.297615
1279666054,2.5,0.028,37.813323,-122.297615
1279666055,2.5,0.028,37.813322,-122.29762
1279666056,2.5,0.026,37.813318,-122.297628
1279666057,2.5,0.026,37.813302,-122.297645
1279666058,2.5,0.027,37.813285,-122.29766
1279666059,2.5,0.028,37.813275,-122.297673
1279666060,2.5,0.027,37.813267,-122.297685
1279666061,2.5,0.026,37.81326,-122.297695
1279666062,2.5,0.026,37.813253,-122.297705
1279666063,2.5,0.027,37.813245,-122.297713
1279666064,2.5,0.027,37.813238,-122.29772
1279666065,2.5,0.025,37.81323,-122.29773
1279666066,2.5,0.025,37.81322,-122.297738
1279666067,2.5,0.026,37.813212,-122.29774
1279666068,2.5,0.026,37.813203,-122.29774
1279666069,2.5,0.025,37.813198,-122.29774
1279666070,2.5,0.026,37.81319,-122.297745
1279666071,2.5,0.026,37.813188,-122.297748
1279666072,2.5,0.027,37.813183,-122.297753
1279666073,2.5,0.026,37.813185,-122.297755
1279666074,2.5,0.028,37.813187,-122.297753
1279666075,2.5,0.028,37.813187,-122.297762
1279666076,2.5,0.028,37.813178,-122.297773
1279666077,2.5,0.028,37.813173,-122.297778
1279666078,2.5,0.028,37.813167,-122.297782
1279666079,2.5,0.028,37.813162,-122.297783
1279666080,2.5,0.027,37.813158,-122.297785
1279666081,2.5,0.027,37.813155,-122.297787
1279666082,2.5,0.027,37.813155,-122.29779
1279666083,2.5,0.027,37.813153,-122.29779
1279666084,2.5,0.029,37.813148,-122.297795
1279666085,2.5,0.028,37.813147,-122.297793
1279666086,2.5,0.027,37.813143,-122.297795
1279666087,2.5,0.027,37.81314,-122.297803
1279666088,2.5,0.028,37.813145,-122.297812
1279666089,2.5,0.027,37.813142,-122.297818
1279666090,2.5,0.027,37.813143,-122.297825
1279666091,2.5,0.027,37.813145,-122.297828
1279666092,2.5,0.025,37.813142,-122.297833
1279666093,2.5,0.026,37.813147,-122.297838
1279666094,2.5,0.027,37.813152,-122.297842
1279666095,2.5,0.03,37.81315,-122.297845
1279666096,2.5,0.031,37.813147,-122.297852
1279666097,2.5,0.028,37.813145,-122.297853
1279666098,2.5,0.026,37.813142,-122.297853
1279666099,2.5,0.029,37.813143,-122.297853
1279666100,2.5,0.032,37.813142,-122.297853
1279666101,2.5,0.027,37.813143,-122.297853
1279666102,2.5,0.027,37.813145,-122.297852
1279666103,2.5,0.028,37.813147,-122.297852
1279666104,2.5,0.026,37.813148,-122.29785
1279666105,2.5,0.025,37.813148,-122.29785
1279666106,2.5,0.025,37.81315,-122.297848
1279666107,2.5,0.026,37.813152,-122.29785
1279666108,2.5,0.026,37.813158,-122.297853
1279666109,2.5,0.025,37.813158,-122.297858
1279666110,2.5,0.025,37.813157,-122.297855
1279666111,2.5,0.026,37.813157,-122.297858
1279666112,2.5,0.028,37.813155,-122.297857
1279666113,2.5,0.028,37.813155,-122.297862
1279666114,2.5,0.027,37.813153,-122.297862
1279666115,2.5,0.025,37.813153,-122.29786
1279666116,2.5,0.026,37.813157,-122.297858
1279666117,2.5,0.027,37.813157,-122.297857
1279666118,2.5,0.027,37.81316,-122.29785
1279666119,2.5,0.026,37.813162,-122.297845
1279666120,2.5,0.026,37.813165,-122.29784
1279666121,2.5,0.027,37.813167,-122.297837
1279666122,2.5,0.026,37.813168,-122.297832
1279666123,2.5,0.025,37.813165,-122.29783
1279666124,2.5,0.026,37.81316,-122.29783
1279666125,2.5,0.025,37.813155,-122.297828
1279666126,2.5,0.027,37.813153,-122.297827
1279666127,2.5,0.029,37.813152,-122.297823
1279666128,2.5,0.031,37.813152,-122.297817
1279666129,2.5,0.032,37.81315,-122.297813
1279666130,2.5,0.029,37.813152,-122.29781
1279666131,2.5,0.028,37.813148,-122.29781
1279666132,2.5,0.026,37.813148,-122.29781
1279666133,2.5,0.027,37.813147,-122.29781
1279666134,2.5,0.027,37.813142,-122.297812
1279666135,2.5,0.028,37.81314,-122.297813
1279666136,2.5,0.027,37.81314,-122.297807
1279666137,2.5,0.026,37.81313,-122.29781
1279666138,2.5,0.028,37.813133,-122.297805
1279666139,2.5,0.027,37.813135,-122.297802
1279666140,2.5,0.025,37.81314,-122.297798
1279666141,2.5,0.025,37.813143,-122.297797
1279666142,2.5,0.025,37.813145,-122.297792
1279666143,2.5,0.027,37.813148,-122.297787
1279666144,2.5,0.026,37.813155,-122.297787
1279666145,2.5,0.027,37.813157,-122.297785
1279666146,2.5,0.028,37.813158,-122.297783
1279666147,2.5,0.026,37.813157,-122.297785
1279666148,2.5,0.026,37.813153,-122.297785
1279666149,2.5,0.026,37.813153,-122.297782
1279666150,2.5,0.026,37.813152,-122.297777
1279666151,2.5,0.028,37.81315,-122.297768
1279666152,2.5,0.028,37.813148,-122.29776
1279666153,2.5,0.029,37.813145,-122.29775
1279666154,2.5,0.029,37.813142,-122.297743
1279666155,2.5,0.029,37.81314,-122.297737
1279666156,2.5,0.028,37.813137,-122.297727
1279666157,2.5,0.028,37.813133,-122.29772
1279666158,2.5,0.028,37.813132,-122.297715
1279666159,2.5,0.029,37.81313,-122.297708
1279666160,2.5,0.027,37.813123,-122.2977
1279666161,2.5,0.027,37.813122,-122.297693
1279666162,2.5,0.027,37.813118,-122.297688
1279666163,2.5,0.028,37.813113,-122.29768
1279666164,2.5,0.028,37.81311,-122.297675
1279666165,2.5,0.026,37.813107,-122.297667
1279666166,2.5,0.027,37.813103,-122.297657
1279666167,2.5,0.03,37.8131,-122.297645
1279666168,2.5,0.028,37.813095,-122.297632
1279666169,2.5,0.024,37.813092,-122.297623
1279666170,2.5,0.025,37.813088,-122.297613
1279666171,2.5,0.027,37.813085,-122.297603
1279666172,2.5,0.027,37.813082,-122.297595
1279666173,2.5,0.029,37.813077,-122.297585
1279666174,2.5,0.029,37.813073,-122.297578
1279666175,2.5,0.028,37.813068,-122.297565
1279666176,2.5,0.03,37.813063,-122.297557
1279666177,2.5,0.029,37.81306,-122.297547
1279666178,2.5,0.027,37.813055,-122.297538
1279666179,2.5,0.026,37.813052,-122.297527
1279666180,2.5,0.027,37.813047,-122.29751
1279666181,2.5,0.027,37.813042,-122.297498
1279666182,2.5,0.026,37.813035,-122.297487
1279666183,2.5,0.025,37.81303,-122.297472
1279666184,2.5,0.027,37.813025,-122.29746
1279666185,2.5,0.026,37.81302,-122.297455
1279666186,2.5,0.026,37.813013,-122.297442
1279666187,2.5,0.027,37.813007,-122.297432
1279666188,2.5,0.027,37.813002,-122.297425
1279666189,2.5,0.027,37.812997,-122.297418
1279666190,2.5,0.028,37.812992,-122.29741
1279666191,2.5,0.027,37.812988,-122.297405
1279666192,2.5,0.027,37.812983,-122.297395
1279666193,2.5,0.027,37.812978,-122.297387
1279666194,2.5,0.026,37.812973,-122.297375
1279666195,2.5,0.027,37.812967,-122.297367
1279666196,2.5,0.026,37.81296,-122.29736
1279666197,2.5,0.028,37.812955,-122.297352
1279666198,2.5,0.03,37.81295,-122.297343
1279666199,2.5,0.028,37.812945,-122.297338
1279666200,2.5,0.029,37.81294,-122.297332
1279666201,2.5,0.028,37.812935,-122.297317
1279666202,2.5,0.027,37.812928,-122.297303
1279666203,2.5,0.028,37.812923,-122.297295
1279666204,2.5,0.029,37.812917,-122.297282
1279666205,2.5,0.029,37.812912,-122.297272
1279666206,2.5,0.03,37.812905,-122.297263
1279666207,2.5,0.031,37.8129,-122.297257
1279666208,2.5,0.032,37.812895,-122.297247
1279666209,2.5,0.029,37.81289,-122.297238
1279666210,2.5,0.032,37.812885,-122.297227
1279666211,2.5,0.038,37.812882,-122.297218
1279666212,2.5,0.035,37.812877,-122.297208
1279666213,2.5,0.034,37.812873,-122.297197
1279666214,2.5,0.033,37.812868,-122.29719
1279666215,2.5,0.029,37.812865,-122.297183
1279666216,2.5,0.029,37.81286,-122.297175
1279666217,2.5,0.027,37.812857,-122.297163
1279666218,2.5,0.03,37.812853,-122.297153
1279666219,2.5,0.032,37.81285,-122.297137
1279666220,2.5,0.028,37.812845,-122.29712
1279666221,2.5,0.029,37.812842,-122.297113
1279666222,2.5,0.029,37.81284,-122.297103
1279666223,2.5,0.029,37.812833,-122.297095
1279666224,2.5,0.028,37.81283,-122.297083
1279666225,2.5,0.028,37.812832,-122.297073
1279666226,2.5,0.027,37.812827,-122.297062
1279666227,2.5,0.028,37.812823,-122.297057
1279666228,2.5,0.025,37.81282,-122.297048
1279666229,2.5,0.025,37.812818,-122.29704
1279666230,2.5,0.027,37.81282,-122.297028
1279666231,2.5,0.03,37.812818,-122.29702
1279666232,2.5,0.03,37.812817,-122.29701
1279666233,2.5,0.026,37.812817,-122.297003
1279666234,2.5,0.029,37.812815,-122.297002
1279666235,2.5,0.029,37.812812,-122.296997
1279666236,2.5,0.028,37.812812,-122.296993
1279666237,2.5,0.029,37.81281,-122.296988
1279666238,2.5,0.03,37.812812,-122.296983
1279666239,2.5,0.028,37.812808,-122.29698
1279666240,2.5,0.028,37.812807,-122.29698
1279666241,2.5,0.028,37.812805,-122.29698
1279666242,2.5,0.028,37.812803,-122.296975
1279666243,2.5,0.028,37.8128,-122.296975
1279666244,2.5,0.029,37.812795,-122.296977
1279666245,2.5,0.03,37.812788,-122.29698
1279666246,2.5,0.029,37.812783,-122.296983
1279666247,2.5,0.028,37.812782,-122.296983
1279666248,2.5,0.027,37.812785,-122.296988
1279666249,2.5,0.026,37.81279,-122.29699
1279666250,2.5,0.025,37.812802,-122.296988
1279666251,2.5,0.026,37.812807,-122.296987
1279666252,2.5,0.029,37.812812,-122.296983
1279666253,2.5,0.028,37.81281,-122.296982
1279666254,2.5,0.027,37.812808,-122.29698
1279666255,2.5,0.028,37.812803,-122.29698
1279666256,2.5,0.026,37.812798,-122.296983
1279666257,2.5,0.026,37.812795,-122.296985
1279666258,2.5,0.028,37.812793,-122.296988
1279666259,2.5,0.027,37.81279,-122.296993
1279666260,2.5,0.027,37.812785,-122.296997
1279666261,2.5,0.027,37.812778,-122.296998
1279666262,2.5,0.027,37.812777,-122.296998
1279666263,2.5,0.027,37.812775,-122.297
1279666264,2.5,0.026,37.812773,-122.297002
1279666265,2.5,0.025,37.812772,-122.297003
1279666266,2.5,0.026,37.81277,-122.297003
1279666267,2.5,0.027,37.81277,-122.297003
1279666268,2.5,0.028,37.812772,-122.297002
1279666269,2.5,0.028,37.812772,-122.297002
1279666270,2.5,0.027,37.81277,-122.297005
1279666271,2.5,0.027,37.812762,-122.297017
1279666272,2.5,0.027,37.812755,-122.297027
1279666273,2.5,0.026,37.81275,-122.297035
1279666274,2.5,0.026,37.812747,-122.297043
1279666275,2.5,0.027,37.812747,-122.29705
1279666276,2.5,0.027,37.81276,-122.297052
1279666277,2.5,0.027,37.812765,-122.297052
1279666278,2.5,0.027,37.81277,-122.297052
1279666279,2.5,0.027,37.812768,-122.297053
1279666280,2.5,0.029,37.81277,-122.297053
1279666281,2.5,0.029,37.81277,-122.297052
1279666282,2.5,0.028,37.812768,-122.297052
1279666283,2.5,0.028,37.812768,-122.29705
1279666284,2.5,0.029,37.812767,-122.29705
1279666285,2.5,0.028,37.812767,-122.297048
1279666286,2.5,0.027,37.812765,-122.297048
1279666287,2.5,0.026,37.812765,-122.297048
1279666288,2.5,0.026,37.812765,-122.297047
1279666289,2.5,0.027,37.81277,-122.29704
1279666290,2.5,0.027,37.812775,-122.297037
1279666291,2.5,0.027,37.812777,-122.297037
1279666292,2.5,0.027,37.812775,-122.297033
1279666293,2.5,0.026,37.812777,-122.297032
1279666294,2.5,0.026,37.81278,-122.297033
1279666295,2.5,0.026,37.812783,-122.297033
1279666296,2.5,0.026,37.812785,-122.297035
