utc,filter,pm,lat,lon
1333738793,2.5,0.004,37.813292,-122.29768
1333738794,2.5,0.004,37.813283,-122.297683
1333738795,2.5,0.004,37.81328,-122.297685
1333738796,2.5,0.004,37.813282,-122.297688
1333738797,2.5,0.004,37.813288,-122.29769
1333738798,2.5,0.005,37.813295,-122.297688
1333738799,2.5,0.007,37.813295,-122.297688
1333738800,2.5,0.007,37.813302,-122.297683
1333738801,2.5,0.004,37.81331,-122.297678
1333738802,2.5,0.005,37.813302,-122.297683
1333738803,2.5,0.005,37.813315,-122.297688
1333738804,2.5,0.004,37.813323,-122.2977
1333738805,2.5,0.004,37.813325,-122.297705
1333738806,2.5,0.004,37.813325,-122.297703
1333738807,2.5,0.004,37.81333,-122.297702
1333738808,2.5,0.004,37.813323,-122.29768
1333738809,2.5,0.004,37.813317,-122.29767
1333738810,2.5,0.004,37.813295,-122.297645
1333738811,2.5,0.005,37.813288,-122.297618
1333738812,2.5,0.005,37.813285,-122.297605
1333738813,2.5,0.005,37.813283,-122.297587
1333738814,2.5,0.005,37.813278,-122.297582
1333738815,2.5,0.005,37.81328,-122.297568
1333738816,2.5,0.005,37.81328,-122.29756
1333738817,2.5,0.005,37.813278,-122.297548
1333738818,2.5,0.004,37.813267,-122.297533
1333738819,2.5,0.004,37.81325,-122.297523
1333738820,2.5,0.004,37.813223,-122.297517
1333738821,2.5,0.004,37.81321,-122.297502
1333738822,2.5,0.004,37.81318,-122.297482
1333738823,2.5,0.004,37.813162,-122.297472
1333738824,2.5,0.004,37.813145,-122.297462
1333738825,2.5,0.004,37.813125,-122.297447
1333738826,2.5,0.004,37.813112,-122.297435
1333738827,2.5,0.004,37.813113,-122.297432
1333738828,2.5,0.004,37.813125,-122.297432
1333738829,2.5,0.004,37.813112,-122.29742
1333738830,2.5,0.005,37.81311,-122.297413
1333738831,2.5,0.004,37.8131,-122.297397
1333738832,2.5,0.004,37.813095,-122.297383
1333738833,2.5,0.005,37.813095,-122.297365
1333738834,2.5,0.004,37.813097,-122.297348
1333738835,2.5,0.004,37.813103,-122.297333
1333738836,2.5,0.004,37.813103,-122.297328
1333738837,2.5,0.004,37.813123,-122.297323
1333738838,2.5,0.004,37.813143,-122.297318
1333738839,2.5,0.003,37.813128,-122.297307
1333738840,2.5,0.003,37.813107,-122.297295
1333738841,2.5,0.004,37.8131,-122.297288
1333738842,2.5,0.004,37.813092,-122.297278
1333738843,2.5,0.003,37.813075,-122.297277
1333738844,2.5,0.003,37.81307,-122.297267
1333738845,2.5,0.003,37.813073,-122.297257
1333738846,2.5,0.003,37.813073,-122.297242
1333738847,2.5,0.005,37.813068,-122.297223
1333738848,2.5,0.005,37.813067,-122.297202
1333738849,2.5,0.004,37.813048,-122.29718
1333738850,2.5,0.004,37.813042,-122.297153
1333738851,2.5,0.004,37.813032,-122.297145
1333738852,2.5,0.004,37.81302,-122.297127
1333738853,2.5,0.003,37.813,-122.297105
1333738854,2.5,0.003,37.81299,-122.297087
1333738855,2.5,0.003,37.81299,-122.297082
1333738856,2.5,0.004,37.812987,-122.297073
1333738857,2.5,0.003,37.81298,-122.297063
1333738858,2.5,0.004,37.81297,-122.297055
1333738859,2.5,0.004,37.812952,-122.297032
1333738860,2.5,0.004,37.81293,-122.297015
1333738861,2.5,0.004,37.81292,-122.297002
1333738862,2.5,0.004,37.812912,-122.296997
1333738863,2.5,0.004,37.812905,-122.296985
1333738864,2.5,0.003,37.812908,-122.296973
1333738865,2.5,0.004,37.812917,-122.296975
1333738866,2.5,0.004,37.812923,-122.296975
1333738867,2.5,0.004,37.812918,-122.29697
1333738868,2.5,0.004,37.812923,-122.296957
1333738869,2.5,0.004,37.812915,-122.296938
1333738870,2.5,0.004,37.812912,-122.296913
1333738871,2.5,0.004,37.812908,-122.296892
1333738872,2.5,0.004,37.812888,-122.296873
1333738873,2.5,0.004,37.812883,-122.29686
1333738874,2.5,0.004,37.812872,-122.29684
1333738875,2.5,0.005,37.812865,-122.29682
