utc,filter,pm,lat,lon
1324937502,2.5,0.058,37.813355,-122.297693
1324937503,2.5,0.055,37.813355,-122.297693
1324937504,2.5,0.053,37.813355,-122.297693
1324937505,2.5,0.051,37.813353,-122.297692
1324937506,2.5,0.05,37.813345,-122.297687
1324937507,2.5,0.054,37.813338,-122.29768
1324937508,2.5,0.055,37.813335,-122.29768
1324937509,2.5,0.053,37.813332,-122.297677
1324937510,2.5,0.053,37.81333,-122.297675
1324937511,2.5,0.058,37.81333,-122.297678
1324937512,2.5,0.056,37.813328,-122.297685
1324937513,2.5,0.052,37.813328,-122.297688
1324937514,2.5,0.052,37.813332,-122.29769
1324937515,2.5,0.051,37.813333,-122.297692
1324937516,2.5,0.052,37.813332,-122.297697
1324937517,2.5,0.053,37.813332,-122.297697
1324937518,2.5,0.049,37.813328,-122.297698
1324937519,2.5,0.05,37.813328,-122.297698
1324937520,2.5,0.048,37.813327,-122.297697
1324937521,2.5,0.048,37.813325,-122.297693
1324937522,2.5,0.05,37.813325,-122.297695
1324937523,2.5,0.049,37.813325,-122.297697
1324937524,2.5,0.049,37.813323,-122.297695
1324937525,2.5,0.049,37.813322,-122.297688
1324937526,2.5,0.048,37.813318,-122.297682
1324937527,2.5,0.049,37.813318,-122.297673
1324937528,2.5,0.049,37.81332,-122.297672
1324937529,2.5,0.048,37.813322,-122.297668
1324937530,2.5,0.05,37.813322,-122.297665
1324937531,2.5,0.049,37.813323,-122.297663
1324937532,2.5,0.049,37.813323,-122.297662
1324937533,2.5,0.049,37.813325,-122.29766
1324937534,2.5,0.051,37.813327,-122.29766
1324937535,2.5,0.051,37.813328,-122.297662
1324937536,2.5,0.049,37.813328,-122.297662
1324937537,2.5,0.05,37.813328,-122.297662
1324937538,2.5,0.051,37.81333,-122.297663
1324937539,2.5,0.05,37.81333,-122.297663
1324937540,2.5,0.049,37.813332,-122.297665
1324937541,2.5,0.05,37.813332,-122.297667
1324937542,2.5,0.049,37.813333,-122.297668
1324937543,2.5,0.048,37.813335,-122.29767
1324937544,2.5,0.049,37.813335,-122.29767
1324937545,2.5,0.049,37.813335,-122.297672
1324937546,2.5,0.05,37.813337,-122.297672
1324937547,2.5,0.049,37.813337,-122.297672
1324937548,2.5,0.048,37.813337,-122.297672
1324937549,2.5,0.049,37.813337,-122.297673
1324937550,2.5,0.051,37.813338,-122.297673
1324937551,2.5,0.049,37.813338,-122.297673
1324937552,2.5,0.048,37.813337,-122.297673
1324937553,2.5,0.048,37.813337,-122.297673
1324937554,2.5,0.049,37.813338,-122.297673
1324937555,2.5,0.048,37.813338,-122.297673
1324937556,2.5,0.047,37.813337,-122.297673
1324937557,2.5,0.049,37.813337,-122.297673
1324937558,2.5,0.05,37.813337,-122.297673
1324937559,2.5,0.05,37.813337,-122.297672
1324937560,2.5,0.05,37.813337,-122.297672
1324937561,2.5,0.05,37.813337,-122.297672
1324937562,2.5,0.05,37.813337,-122.297672
1324937563,2.5,0.049,37.813337,-122.297673
1324937564,2.5,0.05,37.813337,-122.297673
1324937565,2.5,0.05,37.813337,-122.297672
1324937566,2.5,0.05,37.813335,-122.297672
1324937567,2.5,0.049,37.813333,-122.297667
1324937568,2.5,0.049,37.813323,-122.297648
1324937569,2.5,0.048,37.813317,-122.29764
1324937570,2.5,0.048,37.813313,-122.297632
1324937571,2.5,0.048,37.813307,-122.297623
1324937572,2.5,0.048,37.8133,-122.297615
