utc,filter,pm,lat,lon
1305755013,2.5,0.006,37.813327,-122.297312
1305755014,2.5,0.007,37.813355,-122.297177
1305755015,2.5,0.006,37.813358,-122.297163
1305755016,2.5,0.006,37.81336,-122.297153
1305755017,2.5,0.005,37.813365,-122.297158
1305755018,2.5,0.005,37.813368,-122.297155
1305755019,2.5,0.005,37.81337,-122.297137
1305755020,2.5,0.005,37.813375,-122.297118
1305755021,2.5,0.006,37.813377,-122.297123
1305755022,2.5,0.006,37.813377,-122.297138
1305755023,2.5,0.005,37.813377,-122.297155
1305755024,2.5,0.005,37.813377,-122.297168
1305755025,2.5,0.005,37.813378,-122.297183
1305755026,2.5,0.005,37.813378,-122.297193
1305755027,2.5,0.005,37.81338,-122.297193
1305755028,2.5,0.005,37.813382,-122.297195
1305755029,2.5,0.005,37.813382,-122.297198
1305755030,2.5,0.005,37.81338,-122.2972
1305755031,2.5,0.005,37.813333,-122.297393
1305755032,2.5,0.006,37.813333,-122.297398
1305755034,2.5,0.005,37.813333,-122.297393
1305755035,2.5,0.004,37.813332,-122.297392
1305755036,2.5,0.005,37.81333,-122.297388
1305755037,2.5,0.005,37.813328,-122.297383
1305755038,2.5,0.005,37.813327,-122.297377
1305755039,2.5,0.004,37.813323,-122.297367
1305755040,2.5,0.004,37.813323,-122.297367
1305755041,2.5,0.004,37.813323,-122.297365
1305755042,2.5,0.005,37.813322,-122.297358
1305755043,2.5,0.005,37.813317,-122.29749
1305755044,2.5,0.005,37.813303,-122.297545
1305755045,2.5,0.005,37.813312,-122.297567
1305755046,2.5,0.006,37.81332,-122.29758
1305755047,2.5,0.005,37.813327,-122.297588
1305755048,2.5,0.005,37.813333,-122.297595
1305755049,2.5,0.005,37.813342,-122.2976
1305755050,2.5,0.005,37.813353,-122.297602
1305755051,2.5,0.005,37.813373,-122.297597
1305755052,2.5,0.005,37.813392,-122.297595
1305755053,2.5,0.005,37.813392,-122.297598
1305755054,2.5,0.005,37.813395,-122.297602
1305755055,2.5,0.005,37.8134,-122.297603
1305755056,2.5,0.005,37.81339,-122.297592
1305755057,2.5,0.005,37.813377,-122.297582
1305755058,2.5,0.005,37.813353,-122.297568
1305755059,2.5,0.005,37.813345,-122.297562
1305755060,2.5,0.005,37.813333,-122.297558
1305755061,2.5,0.005,37.813327,-122.297562
1305755062,2.5,0.005,37.813303,-122.297563
1305755063,2.5,0.005,37.813285,-122.297557
1305755064,2.5,0.005,37.813272,-122.297547
1305755065,2.5,0.006,37.813262,-122.297538
1305755066,2.5,0.005,37.813257,-122.29753
1305755067,2.5,0.005,37.813252,-122.297518
1305755068,2.5,0.005,37.813247,-122.297507
1305755069,2.5,0.005,37.813242,-122.297495
1305755070,2.5,0.006,37.813235,-122.29748
1305755071,2.5,0.006,37.813228,-122.297467
1305755072,2.5,0.005,37.813222,-122.297453
1305755073,2.5,0.006,37.813217,-122.297442
1305755074,2.5,0.006,37.813212,-122.29743
1305755075,2.5,0.005,37.813207,-122.297413
1305755076,2.5,0.006,37.8132,-122.297402
1305755077,2.5,0.006,37.813193,-122.297392
1305755078,2.5,0.005,37.813188,-122.297378
1305755079,2.5,0.005,37.813185,-122.297368
1305755080,2.5,0.005,37.813182,-122.297362
1305755081,2.5,0.006,37.813178,-122.297353
1305755082,2.5,0.007,37.813173,-122.297343
1305755083,2.5,0.007,37.81317,-122.297335
1305755084,2.5,0.005,37.813167,-122.297327
1305755085,2.5,0.006,37.813162,-122.297318
1305755086,2.5,0.006,37.813158,-122.297312
1305755087,2.5,0.005,37.813153,-122.297302
1305755088,2.5,0.005,37.813147,-122.297287
1305755089,2.5,0.006,37.813142,-122.297278
1305755090,2.5,0.005,37.813135,-122.297267
1305755091,2.5,0.006,37.813128,-122.297255
1305755092,2.5,0.005,37.813117,-122.297238
1305755093,2.5,0.006,37.813103,-122.297222
1305755094,2.5,0.006,37.813092,-122.297205
1305755095,2.5,0.007,37.81308,-122.29719
1305755096,2.5,0.006,37.813077,-122.297178
1305755097,2.5,0.006,37.81307,-122.297167
1305755098,2.5,0.006,37.813065,-122.297153
1305755099,2.5,0.006,37.81306,-122.29714
1305755100,2.5,0.005,37.813048,-122.29712
1305755101,2.5,0.006,37.813043,-122.297112
1305755102,2.5,0.006,37.813038,-122.297105
1305755103,2.5,0.006,37.813032,-122.297097
1305755104,2.5,0.005,37.813025,-122.29709
1305755105,2.5,0.006,37.813012,-122.297077
1305755106,2.5,0.005,37.812998,-122.297058
1305755107,2.5,0.005,37.812985,-122.297038
1305755108,2.5,0.005,37.812978,-122.297023
1305755109,2.5,0.005,37.81297,-122.29701
1305755110,2.5,0.005,37.81295,-122.296983
1305755111,2.5,0.006,37.81293,-122.296962
1305755112,2.5,0.007,37.812918,-122.296945
1305755113,2.5,0.007,37.81291,-122.29693
1305755114,2.5,0.005,37.812902,-122.296918
1305755115,2.5,0.006,37.812887,-122.296903
1305755116,2.5,0.006,37.812867,-122.296888
1305755117,2.5,0.006,37.81285,-122.296875
1305755118,2.5,0.006,37.812838,-122.296863
1305755119,2.5,0.005,37.81283,-122.296857
1305755120,2.5,0.004,37.812825,-122.296848
1305755121,2.5,0.005,37.812827,-122.29686
1305755122,2.5,0.007,37.812827,-122.296858
1305755123,2.5,0.006,37.812823,-122.296853
1305755124,2.5,0.006,37.812818,-122.296845
1305755125,2.5,0.006,37.812813,-122.296835
1305755126,2.5,0.006,37.812808,-122.296823
1305755127,2.5,0.006,37.812803,-122.296813
1305755128,2.5,0.006,37.812798,-122.296802
1305755129,2.5,0.006,37.812795,-122.29679
1305755130,2.5,0.007,37.812792,-122.296777
1305755131,2.5,0.007,37.81279,-122.29676
1305755132,2.5,0.007,37.812785,-122.296745
1305755133,2.5,0.007,37.812783,-122.29673
1305755134,2.5,0.006,37.81278,-122.296713
1305755135,2.5,0.006,37.81278,-122.296697
1305755136,2.5,0.007,37.812783,-122.296678
1305755137,2.5,0.008,37.812783,-122.296663
1305755138,2.5,0.007,37.81278,-122.296652
1305755139,2.5,0.006,37.812775,-122.296638
1305755140,2.5,0.006,37.81277,-122.296625
1305755141,2.5,0.006,37.812763,-122.296612
1305755142,2.5,0.005,37.81276,-122.296598
1305755143,2.5,0.006,37.812757,-122.296583
1305755144,2.5,0.01,37.812753,-122.296568
