utc,filter,pm,lat,lon
1330472094,2.5,0.002,37.813185,-122.297565
1330472095,2.5,0.002,37.813188,-122.297565
1330472096,2.5,0.002,37.813192,-122.297565
1330472097,2.5,0.003,37.813207,-122.29757
1330472098,2.5,0.002,37.813225,-122.297565
1330472099,2.5,0.002,37.81324,-122.297568
1330472100,2.5,0.003,37.813247,-122.297573
1330472101,2.5,0.005,37.81324,-122.297575
1330472102,2.5,0.006,37.813235,-122.297578
1330472103,2.5,0.005,37.813217,-122.29758
1330472104,2.5,0.007,37.813203,-122.297572
1330472105,2.5,0.006,37.813205,-122.297553
1330472106,2.5,0.005,37.813202,-122.297533
1330472107,2.5,0.006,37.813198,-122.297513
1330472108,2.5,0.007,37.813197,-122.297502
1330472109,2.5,0.006,37.813195,-122.297498
1330472110,2.5,0.006,37.813198,-122.297483
1330472111,2.5,0.005,37.813193,-122.297477
1330472112,2.5,0.003,37.813183,-122.29747
1330472113,2.5,0.004,37.813178,-122.297458
1330472114,2.5,0.004,37.813177,-122.297447
1330472115,2.5,0.003,37.813178,-122.297428
1330472116,2.5,0.003,37.813173,-122.297412
1330472117,2.5,0.003,37.813162,-122.297413
1330472118,2.5,0.003,37.813153,-122.297397
1330472119,2.5,0.003,37.81315,-122.297382
1330472120,2.5,0.003,37.813148,-122.297368
1330472121,2.5,0.003,37.813147,-122.297358
1330472122,2.5,0.003,37.813145,-122.297342
1330472123,2.5,0.003,37.813142,-122.297328
1330472124,2.5,0.003,37.813137,-122.297308
1330472125,2.5,0.004,37.813137,-122.297283
1330472126,2.5,0.003,37.81313,-122.297277
1330472127,2.5,0.003,37.813125,-122.297267
1330472128,2.5,0.002,37.813115,-122.297262
1330472129,2.5,0.002,37.813098,-122.297258
1330472130,2.5,0.002,37.813085,-122.29725
1330472131,2.5,0.009,37.813075,-122.29724
1330472132,2.5,0.011,37.813065,-122.297228
1330472133,2.5,0.003,37.813055,-122.297217
1330472134,2.5,0.004,37.813048,-122.297205
1330472135,2.5,0.004,37.813053,-122.29719
1330472136,2.5,0.003,37.81305,-122.297178
1330472137,2.5,0.003,37.813045,-122.297168
1330472138,2.5,0.004,37.813042,-122.297155
1330472139,2.5,0.003,37.813037,-122.297145
1330472140,2.5,0.003,37.813028,-122.297133
1330472141,2.5,0.004,37.81301,-122.29712
1330472142,2.5,0.003,37.812995,-122.297103
1330472143,2.5,0.004,37.812985,-122.297083
1330472144,2.5,0.003,37.812983,-122.297068
1330472145,2.5,0.003,37.812983,-122.297057
