utc,filter,pm,lat,lon
1349378736,2.5,0.03,37.813112,-122.297863
1349378737,2.5,0.029,37.813103,-122.297832
1349378738,2.5,0.026,37.813108,-122.297853
1349378739,2.5,0.026,37.813107,-122.29792
1349378740,2.5,0.026,37.813103,-122.297942
1349378741,2.5,0.026,37.813103,-122.29797
1349378742,2.5,0.024,37.81309,-122.29798
1349378743,2.5,0.023,37.813077,-122.297985
1349378744,2.5,0.023,37.81306,-122.298002
1349378745,2.5,0.025,37.813058,-122.29804
1349378746,2.5,0.026,37.813048,-122.298057
1349378747,2.5,0.027,37.813053,-122.298093
1349378748,2.5,0.028,37.813055,-122.298085
1349378749,2.5,0.031,37.813055,-122.298092
1349378750,2.5,0.033,37.813057,-122.298072
1349378751,2.5,0.033,37.813055,-122.298047
1349378752,2.5,0.032,37.81305,-122.298043
1349378753,2.5,0.033,37.813057,-122.298035
1349378754,2.5,0.035,37.813057,-122.298
1349378755,2.5,0.036,37.813062,-122.29798
1349378756,2.5,0.037,37.813065,-122.29797
1349378757,2.5,0.036,37.813075,-122.297983
1349378758,2.5,0.034,37.813082,-122.297993
1349378759,2.5,0.032,37.81308,-122.298013
1349378760,2.5,0.03,37.813085,-122.298027
1349378761,2.5,0.028,37.813085,-122.298022
1349378762,2.5,0.028,37.813085,-122.29801
1349378763,2.5,0.026,37.81307,-122.29801
1349378764,2.5,0.025,37.813062,-122.297993
1349378765,2.5,0.027,37.813057,-122.29798
1349378766,2.5,0.026,37.81304,-122.29796
1349378767,2.5,0.025,37.813035,-122.297928
1349378768,2.5,0.025,37.813035,-122.297907
1349378769,2.5,0.024,37.813045,-122.29792
1349378770,2.5,0.024,37.813043,-122.297912
1349378771,2.5,0.023,37.81305,-122.297913
1349378772,2.5,0.024,37.813042,-122.297898
1349378773,2.5,0.026,37.813027,-122.29786
1349378774,2.5,0.028,37.813033,-122.297845
1349378775,2.5,0.026,37.81303,-122.297813
1349378776,2.5,0.025,37.813023,-122.297778
1349378777,2.5,0.024,37.813022,-122.29776
1349378778,2.5,0.024,37.813015,-122.297785
1349378779,2.5,0.023,37.813012,-122.297748
1349378780,2.5,0.023,37.812993,-122.297783
1349378781,2.5,0.022,37.812997,-122.297795
1349378782,2.5,0.022,37.813003,-122.29779
1349378783,2.5,0.021,37.813005,-122.29775
1349378784,2.5,0.021,37.813015,-122.297785
1349378785,2.5,0.021,37.813017,-122.297807
1349378786,2.5,0.02,37.813022,-122.297853
1349378787,2.5,0.02,37.813032,-122.297863
1349378788,2.5,0.021,37.813042,-122.297867
1349378789,2.5,0.021,37.813055,-122.297887
1349378790,2.5,0.02,37.813063,-122.29791
1349378791,2.5,0.02,37.813065,-122.297925
1349378792,2.5,0.019,37.813062,-122.29795
1349378793,2.5,0.019,37.813065,-122.297985
1349378794,2.5,0.018,37.813073,-122.298043
1349378795,2.5,0.018,37.813057,-122.29806
1349378796,2.5,0.018,37.813045,-122.298067
1349378797,2.5,0.02,37.813052,-122.298053
1349378798,2.5,0.021,37.813042,-122.298015
1349378799,2.5,0.021,37.813045,-122.297972
1349378800,2.5,0.019,37.813043,-122.297978
1349378801,2.5,0.018,37.813043,-122.297985
1349378802,2.5,0.018,37.813065,-122.297967
1349378803,2.5,0.017,37.813073,-122.297942
1349378804,2.5,0.018,37.813097,-122.297968
1349378805,2.5,0.018,37.8131,-122.297967
1349378806,2.5,0.018,37.813097,-122.297897
1349378807,2.5,0.019,37.813108,-122.297897
1349378808,2.5,0.017,37.81311,-122.297835
1349378809,2.5,0.018,37.813093,-122.297688
1349378810,2.5,0.017,37.813092,-122.297642
1349378811,2.5,0.017,37.8131,-122.297662
1349378812,2.5,0.018,37.813103,-122.297672
1349378813,2.5,0.018,37.813113,-122.297793
1349378814,2.5,0.017,37.81313,-122.297843
1349378815,2.5,0.015,37.81312,-122.297793
1349378816,2.5,0.014,37.813125,-122.297755
1349378817,2.5,0.016,37.813137,-122.29779
1349378818,2.5,0.016,37.81315,-122.297802
1349378819,2.5,0.016,37.813147,-122.29789
1349378820,2.5,0.015,37.813132,-122.29789
1349378821,2.5,0.015,37.813117,-122.297873
1349378822,2.5,0.016,37.813113,-122.297887
1349378823,2.5,0.017,37.813113,-122.297882
1349378824,2.5,0.015,37.81311,-122.297918
1349378825,2.5,0.016,37.813115,-122.297983
