utc,filter,pm,lat,lon
1267214654,2.5,0.007,37.81322,-122.297737
1267214655,2.5,0.007,37.813253,-122.297735
1267214656,2.5,0.008,37.813258,-122.297758
1267214657,2.5,0.008,37.813278,-122.297765
1267214658,2.5,0.007,37.813252,-122.297773
1267214659,2.5,0.007,37.813222,-122.297785
1267214660,2.5,0.007,37.813197,-122.297782
1267214661,2.5,0.006,37.813183,-122.297768
1267214662,2.5,0.017,37.81318,-122.29775
1267214663,2.5,0.025,37.813203,-122.297727
1267214664,2.5,0.006,37.813243,-122.297695
1267214665,2.5,0.006,37.813252,-122.297677
1267214666,2.5,0.006,37.813215,-122.297682
1267214667,2.5,0.006,37.8132,-122.29769
1267214668,2.5,0.006,37.813185,-122.297705
1267214669,2.5,0.006,37.813153,-122.29772
1267214670,2.5,0.008,37.813172,-122.297718
1267214671,2.5,0.007,37.813158,-122.297732
1267214672,2.5,0.006,37.813157,-122.297738
1267214673,2.5,0.006,37.813147,-122.297745
1267214674,2.5,0.006,37.813133,-122.297753
1267214675,2.5,0.007,37.81308,-122.297777
1267214676,2.5,0.009,37.813042,-122.29779
1267214677,2.5,0.037,37.813015,-122.297785
1267214678,2.5,0.005,37.812987,-122.29779
1267214679,2.5,0.006,37.813003,-122.297798
1267214680,2.5,0.006,37.81294,-122.297808
1267214681,2.5,0.006,37.812898,-122.297825
1267214682,2.5,0.006,37.812928,-122.29781
1267214683,2.5,0.006,37.812875,-122.297812
1267214684,2.5,0.006,37.812868,-122.29782
1267214685,2.5,0.007,37.812847,-122.297825
1267214686,2.5,0.007,37.812832,-122.297827
1267214687,2.5,0.007,37.812815,-122.297832
1267214688,2.5,0.007,37.812865,-122.297853
1267214689,2.5,0.007,37.812848,-122.297893
1267214690,2.5,0.006,37.812857,-122.297908
1267214691,2.5,0.007,37.812922,-122.297908
1267214692,2.5,0.006,37.812952,-122.29791
1267214693,2.5,0.006,37.812958,-122.297922
1267214694,2.5,0.007,37.812965,-122.297933
1267214695,2.5,0.008,37.812973,-122.297945
1267214696,2.5,0.006,37.813038,-122.297947
1267214697,2.5,0.006,37.813138,-122.29795
1267214698,2.5,0.006,37.813173,-122.297933
1267214699,2.5,0.006,37.813237,-122.297933
1267214700,2.5,0.006,37.813195,-122.297933
1267214701,2.5,0.007,37.813145,-122.297927
1267214702,2.5,0.006,37.813148,-122.297933
1267214703,2.5,0.006,37.813155,-122.297923
1267214704,2.5,0.007,37.81316,-122.297927
1267214705,2.5,0.006,37.813165,-122.297928
1267214706,2.5,0.006,37.81317,-122.29793
1267214707,2.5,0.006,37.813173,-122.297932
1267214708,2.5,0.007,37.813178,-122.297935
1267214709,2.5,0.008,37.813183,-122.297937
1267214710,2.5,0.008,37.813187,-122.297938
1267214711,2.5,0.006,37.813192,-122.29794
1267214712,2.5,0.006,37.813197,-122.297943
1267214713,2.5,0.006,37.8132,-122.297945
1267214714,2.5,0.007,37.813277,-122.298078
1267214715,2.5,0.007,37.813048,-122.297795
1267214716,2.5,0.006,37.813033,-122.297768
1267214717,2.5,0.006,37.813073,-122.297777
1267214718,2.5,0.007,37.8131,-122.297765
