utc,filter,pm,lat,lon
1362346232,2.5,0.015,37.813357,-122.297685
1362346233,2.5,0.013,37.813342,-122.29768
1362346234,2.5,0.014,37.813337,-122.297683
1362346235,2.5,0.014,37.813318,-122.297685
1362346236,2.5,0.015,37.813347,-122.297677
1362346237,2.5,0.014,37.813353,-122.297677
1362346238,2.5,0.012,37.813352,-122.297677
1362346239,2.5,0.015,37.813377,-122.297688
1362346240,2.5,0.016,37.813378,-122.297692
1362346241,2.5,0.015,37.813378,-122.297695
1362346242,2.5,0.015,37.813365,-122.297692
1362346243,2.5,0.015,37.813365,-122.297682
1362346244,2.5,0.014,37.813362,-122.297672
1362346245,2.5,0.014,37.813353,-122.297663
1362346246,2.5,0.014,37.813353,-122.297658
1362346247,2.5,0.014,37.813348,-122.297655
1362346248,2.5,0.014,37.813353,-122.297657
1362346249,2.5,0.014,37.813363,-122.29765
1362346250,2.5,0.016,37.813362,-122.297647
1362346251,2.5,0.015,37.813368,-122.297648
1362346252,2.5,0.016,37.813385,-122.29765
1362346253,2.5,0.018,37.813408,-122.297645
1362346254,2.5,0.016,37.813427,-122.297643
1362346255,2.5,0.013,37.813417,-122.29765
1362346256,2.5,0.012,37.813417,-122.297645
1362346257,2.5,0.013,37.81342,-122.297643
1362346258,2.5,0.014,37.813417,-122.297643
1362346259,2.5,0.013,37.813412,-122.297653
1362346260,2.5,0.014,37.813403,-122.297655
1362346261,2.5,0.015,37.813398,-122.297655
1362346262,2.5,0.016,37.813395,-122.297657
1362346263,2.5,0.014,37.813393,-122.297668
1362346264,2.5,0.014,37.81339,-122.297667
1362346265,2.5,0.014,37.81339,-122.297668
1362346266,2.5,0.013,37.813385,-122.297657
1362346267,2.5,0.015,37.813382,-122.297648
1362346268,2.5,0.016,37.81338,-122.297652
1362346269,2.5,0.015,37.813377,-122.297648
1362346270,2.5,0.014,37.813373,-122.297655
1362346271,2.5,0.013,37.813372,-122.29766
1362346272,2.5,0.014,37.813368,-122.297655
1362346273,2.5,0.016,37.813363,-122.297645
1362346274,2.5,0.015,37.813358,-122.297637
1362346275,2.5,0.014,37.813355,-122.29763
1362346276,2.5,0.015,37.81335,-122.297617
1362346277,2.5,0.014,37.813343,-122.297617
1362346278,2.5,0.013,37.81334,-122.297632
1362346279,2.5,0.015,37.81333,-122.297648
1362346280,2.5,0.016,37.81333,-122.297653
1362346281,2.5,0.015,37.813332,-122.297648
1362346282,2.5,0.014,37.813323,-122.297642
1362346283,2.5,0.014,37.81331,-122.297633
1362346284,2.5,0.015,37.813318,-122.297623
1362346285,2.5,0.015,37.813308,-122.297613
1362346286,2.5,0.015,37.81327,-122.29762
1362346287,2.5,0.014,37.813258,-122.297612
1362346288,2.5,0.014,37.81325,-122.2976
1362346289,2.5,0.016,37.813248,-122.297583
1362346290,2.5,0.015,37.813235,-122.297575
1362346291,2.5,0.014,37.813245,-122.297557
1362346292,2.5,0.014,37.813247,-122.297545
1362346293,2.5,0.014,37.813228,-122.29754
1362346294,2.5,0.014,37.813207,-122.297538
1362346295,2.5,0.014,37.813205,-122.297527
1362346296,2.5,0.014,37.813193,-122.297515
1362346297,2.5,0.014,37.813177,-122.297505
1362346298,2.5,0.014,37.813175,-122.297488
1362346299,2.5,0.014,37.813172,-122.297478
1362346300,2.5,0.016,37.813173,-122.297465
1362346301,2.5,0.019,37.81318,-122.297438
1362346302,2.5,0.015,37.813175,-122.297423
1362346303,2.5,0.016,37.813142,-122.297427
1362346304,2.5,0.015,37.81314,-122.297418
1362346305,2.5,0.014,37.813155,-122.297407
1362346306,2.5,0.015,37.813172,-122.297395
1362346307,2.5,0.014,37.813183,-122.297393
1362346308,2.5,0.015,37.813182,-122.297393
1362346309,2.5,0.016,37.813165,-122.297398
1362346310,2.5,0.018,37.813153,-122.297397
1362346311,2.5,0.017,37.813137,-122.297402
1362346312,2.5,0.015,37.813122,-122.297413
1362346313,2.5,0.015,37.813122,-122.29741
1362346314,2.5,0.015,37.813125,-122.297402
1362346315,2.5,0.014,37.813135,-122.297397
1362346316,2.5,0.015,37.813135,-122.29739
1362346317,2.5,0.016,37.813123,-122.297382
1362346318,2.5,0.019,37.81313,-122.297375
1362346319,2.5,0.023,37.813122,-122.297372
1362346320,2.5,0.024,37.81312,-122.297368
1362346321,2.5,0.022,37.813115,-122.297367
1362346322,2.5,0.018,37.81311,-122.29736
1362346323,2.5,0.019,37.813132,-122.297355
1362346324,2.5,0.02,37.813148,-122.29735
1362346325,2.5,0.018,37.813153,-122.297342
1362346326,2.5,0.016,37.813155,-122.297338
1362346327,2.5,0.015,37.813162,-122.297333
1362346328,2.5,0.016,37.813162,-122.297323
1362346329,2.5,0.015,37.813148,-122.297305
1362346330,2.5,0.015,37.813138,-122.297288
1362346331,2.5,0.016,37.813128,-122.297273
1362346332,2.5,0.015,37.813128,-122.297267
1362346333,2.5,0.015,37.813125,-122.29726
1362346334,2.5,0.015,37.813118,-122.297252
1362346335,2.5,0.015,37.813115,-122.29724
1362346336,2.5,0.016,37.813105,-122.297227
1362346337,2.5,0.016,37.813098,-122.297218
1362346338,2.5,0.016,37.813092,-122.297208
1362346339,2.5,0.017,37.813087,-122.297197
1362346340,2.5,0.015,37.813085,-122.297188
1362346341,2.5,0.018,37.813078,-122.297168
1362346342,2.5,0.02,37.813067,-122.297157
1362346343,2.5,0.016,37.813065,-122.297133
1362346344,2.5,0.015,37.81306,-122.297122
1362346345,2.5,0.015,37.813047,-122.297098
1362346346,2.5,0.015,37.813043,-122.29708
1362346347,2.5,0.015,37.813045,-122.297068
1362346348,2.5,0.016,37.813045,-122.297057
1362346349,2.5,0.015,37.813043,-122.297047
1362346350,2.5,0.014,37.81304,-122.297032
1362346351,2.5,0.015,37.813033,-122.29701
1362346352,2.5,0.014,37.813027,-122.296992
1362346353,2.5,0.016,37.813023,-122.296975
1362346354,2.5,0.017,37.813012,-122.296955
1362346355,2.5,0.015,37.813,-122.296938
1362346356,2.5,0.016,37.812995,-122.296923
1362346357,2.5,0.015,37.812988,-122.296908
1362346358,2.5,0.017,37.812977,-122.29689
1362346359,2.5,0.017,37.812977,-122.296878
1362346360,2.5,0.016,37.81297,-122.296865
1362346361,2.5,0.015,37.812958,-122.296848
1362346362,2.5,0.016,37.812948,-122.296832
1362346363,2.5,0.016,37.812938,-122.296817
1362346364,2.5,0.015,37.812928,-122.296802
1362346365,2.5,0.013,37.81292,-122.296787
1362346366,2.5,0.013,37.812912,-122.296773
1362346367,2.5,0.015,37.812907,-122.296757
1362346368,2.5,0.015,37.8129,-122.296742
1362346369,2.5,0.014,37.81289,-122.296727
1362346370,2.5,0.015,37.812888,-122.296715
1362346371,2.5,0.015,37.812878,-122.296705
1362346372,2.5,0.015,37.812872,-122.296692
1362346373,2.5,0.016,37.812862,-122.296678
