utc,filter,pm,lat,lon
1343080486,2.5,0.029,37.809477,-122.297597
1343080487,2.5,0.028,37.809478,-122.297588
1343080488,2.5,0.028,37.809478,-122.297585
1343080489,2.5,0.026,37.809472,-122.297588
1343080490,2.5,0.027,37.809467,-122.29759
1343080491,2.5,0.026,37.809462,-122.297595
1343080492,2.5,0.031,37.80946,-122.2976
1343080493,2.5,0.029,37.80947,-122.297588
1343080494,2.5,0.027,37.809472,-122.297583
1343080495,2.5,0.024,37.809458,-122.2976
1343080496,2.5,0.025,37.809452,-122.297618
1343080497,2.5,0.026,37.809443,-122.297633
1343080498,2.5,0.028,37.809448,-122.297632
1343080499,2.5,0.027,37.809453,-122.297627
1343080500,2.5,0.027,37.80945,-122.297637
1343080501,2.5,0.027,37.809457,-122.29763
1343080502,2.5,0.027,37.80945,-122.297637
1343080503,2.5,0.028,37.809443,-122.297647
1343080504,2.5,0.029,37.809443,-122.297652
1343080505,2.5,0.027,37.809448,-122.297648
1343080506,2.5,0.026,37.809483,-122.297638
1343080507,2.5,0.026,37.809525,-122.297612
1343080508,2.5,0.026,37.809543,-122.297603
1343080509,2.5,0.028,37.80952,-122.29762
1343080510,2.5,0.027,37.809505,-122.297632
1343080511,2.5,0.027,37.809502,-122.297628
1343080512,2.5,0.026,37.809493,-122.29764
1343080513,2.5,0.026,37.809502,-122.297642
1343080514,2.5,0.024,37.809512,-122.297637
1343080515,2.5,0.025,37.809518,-122.29763
1343080516,2.5,0.027,37.809527,-122.297617
1343080517,2.5,0.028,37.809535,-122.297605
1343080518,2.5,0.027,37.809522,-122.297607
1343080519,2.5,0.026,37.809518,-122.297607
1343080520,2.5,0.025,37.809518,-122.2976
1343080521,2.5,0.026,37.809513,-122.2976
1343080522,2.5,0.028,37.809503,-122.297607
1343080523,2.5,0.028,37.809512,-122.2976
1343080524,2.5,0.03,37.809513,-122.297605
1343080525,2.5,0.027,37.809505,-122.297613
1343080526,2.5,0.026,37.809497,-122.297618
1343080527,2.5,0.027,37.809497,-122.297622
1343080528,2.5,0.026,37.809487,-122.297627
1343080529,2.5,0.026,37.809492,-122.297617
1343080530,2.5,0.025,37.809482,-122.297627
1343080531,2.5,0.026,37.809473,-122.297635
1343080532,2.5,0.028,37.809465,-122.297645
1343080533,2.5,0.025,37.809467,-122.297638
1343080534,2.5,0.024,37.809468,-122.297638
1343080535,2.5,0.026,37.809472,-122.297638
1343080536,2.5,0.026,37.809483,-122.297625
1343080537,2.5,0.025,37.809488,-122.29762
1343080538,2.5,0.025,37.809483,-122.29762
1343080539,2.5,0.025,37.809472,-122.297633
1343080540,2.5,0.026,37.809472,-122.297632
1343080541,2.5,0.027,37.809465,-122.29764
1343080542,2.5,0.029,37.809465,-122.297643
1343080543,2.5,0.029,37.809467,-122.297638
1343080544,2.5,0.03,37.809468,-122.29763
1343080545,2.5,0.027,37.809473,-122.29762
1343080546,2.5,0.027,37.809478,-122.29761
1343080547,2.5,0.025,37.809485,-122.297603
1343080548,2.5,0.026,37.809483,-122.297605
1343080549,2.5,0.026,37.80948,-122.297613
1343080550,2.5,0.025,37.809475,-122.297623
1343080551,2.5,0.026,37.809468,-122.297628
1343080552,2.5,0.027,37.80946,-122.297638
1343080553,2.5,0.027,37.809448,-122.297647
1343080554,2.5,0.026,37.809443,-122.297657
1343080555,2.5,0.025,37.809447,-122.297653
1343080556,2.5,0.025,37.809437,-122.297653
1343080557,2.5,0.025,37.809418,-122.297673
1343080558,2.5,0.025,37.809418,-122.297678
1343080559,2.5,0.026,37.80943,-122.297667
1343080560,2.5,0.026,37.809442,-122.297657
1343080561,2.5,0.027,37.809453,-122.297645
1343080562,2.5,0.029,37.809455,-122.297643
1343080563,2.5,0.029,37.80945,-122.29765
1343080564,2.5,0.027,37.809455,-122.29765
1343080565,2.5,0.027,37.80946,-122.297653
1343080566,2.5,0.027,37.809467,-122.297647
1343080567,2.5,0.024,37.809472,-122.29765
1343080568,2.5,0.025,37.809455,-122.297675
1343080569,2.5,0.025,37.80945,-122.297687
1343080570,2.5,0.027,37.809433,-122.297713
1343080571,2.5,0.025,37.809427,-122.297725
1343080572,2.5,0.026,37.809417,-122.297745
1343080573,2.5,0.027,37.809408,-122.297747
1343080574,2.5,0.027,37.809397,-122.297752
1343080575,2.5,0.029,37.809388,-122.297745
1343080576,2.5,0.027,37.809388,-122.29774
1343080577,2.5,0.025,37.809385,-122.297742
1343080578,2.5,0.026,37.809378,-122.297747
1343080579,2.5,0.029,37.809372,-122.297752
1343080580,2.5,0.027,37.809407,-122.297695
1343080581,2.5,0.027,37.809408,-122.297685
1343080582,2.5,0.03,37.80941,-122.29766
1343080583,2.5,0.028,37.809407,-122.297653
1343080584,2.5,0.026,37.809433,-122.297615
1343080585,2.5,0.026,37.809458,-122.297592
1343080586,2.5,0.025,37.80948,-122.297565
1343080587,2.5,0.025,37.809505,-122.297533
1343080588,2.5,0.026,37.809515,-122.297532
1343080589,2.5,0.028,37.809498,-122.297565
1343080590,2.5,0.027,37.809522,-122.297558
1343080591,2.5,0.026,37.809543,-122.297533
1343080592,2.5,0.026,37.809578,-122.29752
1343080593,2.5,0.027,37.809605,-122.297502
1343080594,2.5,0.027,37.809605,-122.297503
1343080595,2.5,0.026,37.809563,-122.297545
1343080596,2.5,0.027,37.809525,-122.297585
1343080597,2.5,0.027,37.809502,-122.297615
1343080598,2.5,0.025,37.809502,-122.29762
1343080599,2.5,0.031,37.8095,-122.297618
1343080600,2.5,0.064,37.80951,-122.297597
1343080601,2.5,0.082,37.809498,-122.29761
1343080602,2.5,0.033,37.809495,-122.297608
1343080603,2.5,0.038,37.8095,-122.297602
1343080604,2.5,0.028,37.8095,-122.297598
1343080605,2.5,0.026,37.8095,-122.2976
1343080606,2.5,0.024,37.809513,-122.297587
1343080607,2.5,0.024,37.80951,-122.297582
1343080608,2.5,0.025,37.809518,-122.297583
1343080609,2.5,0.026,37.809515,-122.297595
1343080610,2.5,0.028,37.809503,-122.297608
1343080611,2.5,0.031,37.809505,-122.297623
1343080612,2.5,0.029,37.809517,-122.297623
1343080613,2.5,0.027,37.80952,-122.297623
1343080614,2.5,0.028,37.809512,-122.297618
1343080615,2.5,0.027,37.80951,-122.297602
1343080616,2.5,0.025,37.8095,-122.297622
1343080617,2.5,0.025,37.809502,-122.297637
1343080618,2.5,0.026,37.809497,-122.297663
1343080619,2.5,0.028,37.809503,-122.297665
1343080620,2.5,0.027,37.809503,-122.297672
1343080621,2.5,0.026,37.809508,-122.29767
1343080622,2.5,0.025,37.809517,-122.297665
1343080623,2.5,0.024,37.80952,-122.297657
1343080624,2.5,0.025,37.809527,-122.297643
1343080625,2.5,0.026,37.809538,-122.29763
1343080626,2.5,0.026,37.809537,-122.29764
1343080627,2.5,0.027,37.809527,-122.297657
1343080628,2.5,0.031,37.809515,-122.297662
1343080629,2.5,0.032,37.809497,-122.29767
1343080630,2.5,0.027,37.809507,-122.297668
1343080631,2.5,0.025,37.809507,-122.297675
1343080632,2.5,0.025,37.809508,-122.297677
1343080633,2.5,0.026,37.809507,-122.297673
1343080634,2.5,0.026,37.80951,-122.297668
1343080635,2.5,0.026,37.809508,-122.29767
1343080636,2.5,0.025,37.809505,-122.297665
1343080637,2.5,0.024,37.809503,-122.297667
1343080638,2.5,0.026,37.809512,-122.297653
1343080639,2.5,0.025,37.80951,-122.297655
1343080640,2.5,0.025,37.809512,-122.297648
1343080641,2.5,0.025,37.80952,-122.297635
1343080642,2.5,0.026,37.809518,-122.297632
1343080643,2.5,0.026,37.809533,-122.297617
1343080644,2.5,0.026,37.809535,-122.297615
1343080645,2.5,0.027,37.809543,-122.297622
1343080646,2.5,0.027,37.809558,-122.29762
1343080647,2.5,0.026,37.809573,-122.297608
1343080648,2.5,0.027,37.809565,-122.297617
1343080649,2.5,0.027,37.809535,-122.297648
1343080650,2.5,0.028,37.809517,-122.29765
1343080651,2.5,0.039,37.809505,-122.297648
1343080652,2.5,0.047,37.809505,-122.297645
1343080653,2.5,0.04,37.809512,-122.297638
1343080654,2.5,0.057,37.809518,-122.297633
1343080655,2.5,0.029,37.80952,-122.297615
1343080656,2.5,0.028,37.809508,-122.297622
1343080657,2.5,0.028,37.809517,-122.29761
1343080658,2.5,0.042,37.809522,-122.297603
1343080659,2.5,0.039,37.809525,-122.297593
1343080660,2.5,0.027,37.809513,-122.297605
1343080661,2.5,0.029,37.809512,-122.297608
1343080662,2.5,0.028,37.809503,-122.297615
1343080663,2.5,0.077,37.809497,-122.297613
1343080664,2.5,0.515,37.809485,-122.297627
1343080665,2.5,0.666,37.809472,-122.297648
1343080666,2.5,0.026,37.809467,-122.29766
1343080667,2.5,0.025,37.809455,-122.297683
1343080668,2.5,0.026,37.809442,-122.297692
