utc,filter,pm,lat,lon
1322267229,2.5,0.016,37.813328,-122.297702
1322267230,2.5,0.016,37.813328,-122.297695
1322267231,2.5,0.014,37.813328,-122.297692
1322267232,2.5,0.015,37.813325,-122.297685
1322267233,2.5,0.016,37.813323,-122.29768
1322267234,2.5,0.015,37.813325,-122.29768
1322267235,2.5,0.015,37.813325,-122.29768
1322267236,2.5,0.014,37.813327,-122.297683
1322267237,2.5,0.014,37.813332,-122.297693
1322267238,2.5,0.014,37.813332,-122.297697
1322267239,2.5,0.014,37.813327,-122.297687
1322267240,2.5,0.013,37.813325,-122.297685
1322267241,2.5,0.013,37.813325,-122.29768
1322267242,2.5,0.013,37.813325,-122.297677
1322267243,2.5,0.014,37.813328,-122.297672
1322267244,2.5,0.015,37.813332,-122.297665
1322267245,2.5,0.014,37.813333,-122.297658
1322267246,2.5,0.014,37.813327,-122.297652
1322267247,2.5,0.014,37.813315,-122.297645
1322267248,2.5,0.013,37.813308,-122.297642
1322267249,2.5,0.013,37.813293,-122.297623
1322267250,2.5,0.014,37.813282,-122.297612
1322267251,2.5,0.013,37.813275,-122.2976
1322267252,2.5,0.013,37.81327,-122.297593
1322267253,2.5,0.013,37.813265,-122.297588
1322267254,2.5,0.013,37.813262,-122.297583
1322267255,2.5,0.013,37.813252,-122.297587
1322267256,2.5,0.012,37.813238,-122.297572
1322267257,2.5,0.014,37.813232,-122.297558
1322267258,2.5,0.015,37.813228,-122.297552
1322267259,2.5,0.015,37.813222,-122.297538
1322267260,2.5,0.015,37.813218,-122.297532
1322267261,2.5,0.015,37.813212,-122.297518
1322267262,2.5,0.015,37.813208,-122.297513
1322267263,2.5,0.015,37.81321,-122.297508
1322267264,2.5,0.015,37.81321,-122.297507
1322267265,2.5,0.015,37.813208,-122.297502
1322267266,2.5,0.014,37.813203,-122.297493
1322267267,2.5,0.014,37.8132,-122.297483
1322267268,2.5,0.016,37.813193,-122.297472
1322267269,2.5,0.015,37.813188,-122.297457
1322267270,2.5,0.015,37.813182,-122.297447
1322267271,2.5,0.015,37.813178,-122.297438
1322267272,2.5,0.015,37.813175,-122.297435
1322267273,2.5,0.014,37.813172,-122.29743
1322267274,2.5,0.014,37.813172,-122.297423
1322267275,2.5,0.015,37.813173,-122.297422
1322267276,2.5,0.014,37.813173,-122.29742
1322267277,2.5,0.014,37.81317,-122.297423
1322267278,2.5,0.016,37.813168,-122.297422
1322267279,2.5,0.017,37.813168,-122.297418
1322267280,2.5,0.016,37.81317,-122.297422
1322267281,2.5,0.016,37.813168,-122.297417
1322267282,2.5,0.015,37.813165,-122.297407
1322267283,2.5,0.015,37.813165,-122.297412
1322267284,2.5,0.016,37.813165,-122.29742
1322267285,2.5,0.016,37.813165,-122.297427
1322267286,2.5,0.015,37.813168,-122.297433
1322267287,2.5,0.015,37.813167,-122.297423
1322267288,2.5,0.015,37.813168,-122.297423
1322267289,2.5,0.015,37.81317,-122.297423
1322267290,2.5,0.015,37.813167,-122.297418
1322267291,2.5,0.015,37.813162,-122.297412
1322267292,2.5,0.015,37.81316,-122.297407
1322267293,2.5,0.015,37.813155,-122.297397
1322267294,2.5,0.014,37.813148,-122.297383
1322267295,2.5,0.015,37.813142,-122.297372
1322267296,2.5,0.015,37.81314,-122.297363
1322267297,2.5,0.015,37.813137,-122.297358
1322267298,2.5,0.015,37.813127,-122.297342
1322267299,2.5,0.016,37.813122,-122.29733
1322267300,2.5,0.015,37.813117,-122.29732
1322267301,2.5,0.015,37.813113,-122.297312
1322267302,2.5,0.016,37.81311,-122.297303
1322267303,2.5,0.017,37.813107,-122.297297
1322267304,2.5,0.017,37.813098,-122.297283
1322267305,2.5,0.018,37.813093,-122.29727
1322267306,2.5,0.017,37.813083,-122.297253
1322267307,2.5,0.017,37.813077,-122.297243
1322267308,2.5,0.017,37.813075,-122.297247
1322267309,2.5,0.017,37.813073,-122.297245
1322267310,2.5,0.017,37.813072,-122.297245
1322267311,2.5,0.017,37.813063,-122.297225
1322267312,2.5,0.017,37.813058,-122.29721
1322267313,2.5,0.016,37.813057,-122.297198
1322267314,2.5,0.016,37.813053,-122.29719
1322267315,2.5,0.016,37.81305,-122.297185
1322267316,2.5,0.016,37.813045,-122.297182
1322267317,2.5,0.017,37.813042,-122.297178
1322267318,2.5,0.017,37.813042,-122.297178
1322267319,2.5,0.017,37.813045,-122.297172
1322267320,2.5,0.016,37.813047,-122.297168
1322267321,2.5,0.016,37.813047,-122.297168
1322267322,2.5,0.016,37.813048,-122.297168
1322267323,2.5,0.016,37.813048,-122.29717
1322267324,2.5,0.016,37.813048,-122.297172
1322267325,2.5,0.016,37.81305,-122.297173
1322267326,2.5,0.017,37.81305,-122.297177
1322267327,2.5,0.017,37.813052,-122.297177
1322267328,2.5,0.017,37.813053,-122.297178
1322267329,2.5,0.017,37.813053,-122.29718
1322267330,2.5,0.018,37.813055,-122.297183
1322267331,2.5,0.019,37.813055,-122.297185
1322267332,2.5,0.018,37.813065,-122.297202
1322267333,2.5,0.018,37.81307,-122.297212
1322267334,2.5,0.017,37.813075,-122.297218
