utc,filter,pm,lat,lon
1302044830,2.5,0.011,37.813332,-122.29786
1302044831,2.5,0.01,37.81333,-122.297858
1302044832,2.5,0.01,37.81333,-122.297858
1302044833,2.5,0.01,37.813328,-122.297832
1302044834,2.5,0.01,37.813328,-122.29782
1302044835,2.5,0.01,37.813323,-122.297812
1302044836,2.5,0.009,37.813318,-122.297813
1302044837,2.5,0.01,37.8132,-122.297898
1302044838,2.5,0.011,37.81326,-122.297852
1302044839,2.5,0.009,37.813248,-122.297862
1302044840,2.5,0.011,37.813225,-122.297867
1302044841,2.5,0.011,37.81322,-122.297853
1302044842,2.5,0.009,37.813227,-122.297835
1302044843,2.5,0.01,37.813215,-122.297828
1302044844,2.5,0.009,37.813207,-122.297825
1302044845,2.5,0.009,37.813207,-122.297925
1302044846,2.5,0.009,37.813202,-122.297823
1302044847,2.5,0.009,37.8132,-122.297845
1302044848,2.5,0.009,37.81321,-122.2978
1302044849,2.5,0.009,37.813212,-122.297765
1302044850,2.5,0.009,37.813207,-122.297737
1302044851,2.5,0.009,37.813272,-122.297698
1302044852,2.5,0.009,37.813172,-122.297667
1302044853,2.5,0.008,37.813165,-122.297655
1302044854,2.5,0.009,37.81317,-122.297593
1302044855,2.5,0.009,37.813108,-122.297645
1302044856,2.5,0.009,37.81316,-122.297608
1302044857,2.5,0.009,37.813127,-122.297638
1302044858,2.5,0.009,37.813137,-122.297607
1302044859,2.5,0.009,37.813138,-122.29759
1302044860,2.5,0.009,37.813133,-122.297587
1302044861,2.5,0.01,37.81313,-122.297613
1302044862,2.5,0.01,37.813122,-122.297595
1302044863,2.5,0.009,37.813117,-122.297575
1302044864,2.5,0.009,37.813112,-122.297558
1302044865,2.5,0.01,37.81307,-122.297575
1302044866,2.5,0.009,37.813088,-122.29754
1302044867,2.5,0.009,37.81309,-122.297512
1302044868,2.5,0.01,37.813085,-122.297493
1302044869,2.5,0.01,37.813085,-122.29748
1302044870,2.5,0.01,37.81308,-122.297468
1302044871,2.5,0.011,37.81307,-122.29746
1302044872,2.5,0.011,37.813028,-122.297472
1302044873,2.5,0.01,37.813087,-122.29741
1302044874,2.5,0.01,37.813072,-122.297408
1302044875,2.5,0.011,37.813002,-122.297447
1302044876,2.5,0.011,37.812963,-122.297453
1302044877,2.5,0.01,37.812953,-122.297442
1302044878,2.5,0.01,37.812995,-122.297395
1302044879,2.5,0.009,37.81298,-122.29739
1302044880,2.5,0.01,37.812975,-122.297377
1302044881,2.5,0.011,37.813033,-122.29732
1302044882,2.5,0.011,37.813017,-122.297318
1302044883,2.5,0.011,37.813007,-122.297313
1302044884,2.5,0.01,37.812963,-122.297358
1302044885,2.5,0.009,37.812952,-122.297338
1302044886,2.5,0.01,37.812945,-122.297323
1302044887,2.5,0.011,37.812943,-122.29732
1302044888,2.5,0.009,37.812938,-122.297305
1302044889,2.5,0.009,37.812933,-122.29729
1302044890,2.5,0.011,37.812923,-122.297275
1302044891,2.5,0.012,37.812918,-122.29726
1302044892,2.5,0.009,37.81291,-122.297247
1302044893,2.5,0.009,37.812905,-122.297233
1302044894,2.5,0.01,37.8129,-122.29722
1302044895,2.5,0.009,37.812893,-122.297208
1302044896,2.5,0.009,37.812893,-122.297187
1302044897,2.5,0.009,37.81289,-122.297168
1302044898,2.5,0.009,37.812883,-122.297155
1302044899,2.5,0.009,37.812888,-122.297128
1302044900,2.5,0.009,37.812887,-122.297108
1302044901,2.5,0.009,37.812887,-122.297095
1302044902,2.5,0.009,37.812865,-122.297088
1302044903,2.5,0.01,37.81285,-122.297065
1302044904,2.5,0.009,37.812838,-122.297057
1302044905,2.5,0.009,37.812818,-122.297045
1302044906,2.5,0.008,37.812805,-122.297037
1302044907,2.5,0.008,37.812822,-122.297013
1302044908,2.5,0.009,37.812815,-122.296987
1302044909,2.5,0.008,37.812807,-122.296973
1302044910,2.5,0.009,37.812802,-122.29696
1302044911,2.5,0.01,37.812795,-122.296948
1302044912,2.5,0.01,37.812788,-122.296937
1302044913,2.5,0.01,37.812777,-122.296925
1302044914,2.5,0.011,37.812767,-122.296912
1302044915,2.5,0.01,37.812757,-122.2969
